,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
0,"['4 June 2010,', '18:45']",CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
1,"['4 June 2010,', '18:45']",CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.07B0004.18,Failure,4 June 2010,18:45
2,"['4 June 2010,', '18:45']",CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.07B0005.18,"No attempt
",4 June 2010,18:45
3,"['4 June 2010,', '18:45']",CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,No attempt,8 December 2010,15:43
4,"['8 December 2010,', '15:43']",CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.07B0007.18,"No attempt
",22 May 2012,07:44
5,"['22 May 2012,', '07:44']",VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.17B10038,Uncontrolled,8 October 2012,00:35
6,"['8 October 2012,', '00:35']",CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,1 March 2013,15:10
7,"['1 March 2013,', '15:10']",CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,29 September 2013,16:00
8,"['29 September 2013,', '16:00']",Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,3 December 2013,22:41
9,"['3 December 2013,', '22:41']",Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,6 January 2014,22:06
10,"['6 January 2014,', '22:06']",Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,18 April 2014,19:25
11,"['18 April 2014,', '19:25']",Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1[,"No attempt
",14 July 2014,15:15
